"Lemma
（見出し語）","Japanese
(Short)","Commentary
(解説)"
accost,呼び掛ける,呼びかける. 話しかける. ことばをかけて近寄る
account,アカウント,アカウント. 勘定書. 預金口座. . 説明する
accountability,説明責任,説明義務. 会計責任
accountable,責任がある,説明のつく. 責任がある
accountancy,会計学,会計. 会計学. 会計職
accountant,会計士,会計係. 会計士
accounting,会計,会計学. 会計. 計算
accredit,認定する,信任する。功績とする
accreditation,認証された,認証評価 
accredited,公認の,正式認可を受けた 
accretion,合体,(発育･付着･包含などによる)増大. 付着. 融合. 合体
accrual,発生主義,＜accrue. 生じること･もの. 発生. 増加. 定期的に累増する金額. 見越し額. 金利発生型の
accrue,生じる,生じる. 自然増加として生ずる. 生ずる
acculturation,文化変容,文化変容
accumulate,蓄積する,積み重ねる. 蓄積する. 集める
accumulation,蓄積,集積. 蓄積
accuracy,精度,精密さ. 正確. 精度
accurate,正確な,明確な. 的確な. 正確な
accurately,正確に,きちんと. 正確には
accusation,告発,告発すること. 非難. 告訴. 告発
accusative,対格,"accusative case対格. 名詞がもつ格のひとつ. 他動詞の直接目的語を示す(ご飯を作る,など). 対格はすべての印欧語族に存在"
accusatory,非難する,告訴の. 非難の. 非難めいた
accuse,非難する,を非難する. を告発する. 告訴する
accused,被告人,告発された. 被告
accusee,非難された者,非難された者
accuser,原告,告訴人. 刑事訴訟の原告
accustom,慣らす,習慣づける. を慣らす. に対して慣らす
accustomed,慣れて,慣らした. 慣れた
ACD,ACD,Asia Cooperation Dialogue(アジア協力対話). 2. Anemia of Chronic Disease慢性疾患性貧血. 3. Acid-Citrate-Dextrose(酸性クエン酸ブドウ糖液) 
ace,エース,"第一人者. 切り札,最高位かそれに準じる者"
acerbic,辛辣な,刺々しい. 酸っぱい. 苦い. 渋い
acetaminophen,アセトアミノフェン,アセトアミノフェン(Acetaminophen). 解熱鎮痛薬の一つ
acetate,アセテート,アセテート 
acetic,酢酸の,酸っぱい. 酢の
acetonitrile,アセトニトリル,アセトニトリル. 分子式CH3CNと表される最も単純なニトリルである. 化学工業製品の原料や溶媒として用いられる
acetyl,アセチル,"酢酸を構成する有機基(CH3CO-). アセチル基,アセチルと呼ばれる"
acetylated,アセチル化,アセチル化した 
acetylation,アセチル化,アセチル化. 有機化合物中にアセチル基が導入されること. (逆に有機化合物からアセチル基が除かれる反応は脱アセチル化)
acetylcholine,アセチルコリン,アセチルコリン. 神経伝達物質の名称. コリン(choline)の誘導物である
acetyltransferase,アセチルトランスフェラーゼ,アセチルトランスフェラーゼ. 一つの化合物のアセチル基を他の化合物へ転移する反応を触媒する酵素. アセチル基転移酵素ともいう. 
ache,痛み,痛む
achievable,達成可能な,達成可能な 
achieve,達成する,を達成する. を完成する
achievement,業績,達成. 業績
achieving,達成,達成 
Achilles,アキレス腱,アキレス腱　the Achilles' tendon(腱). (cf. heelかかと)
achy,うずく,うずく. 痛みのある
acid,酸,酸. 酸性. 酸塩基反応(acid-base reaction). 酸っぱい. 麻薬. LSD (cf. alkali)
acidic,酸性の,酸を出す. (態度･気質が)刺々しい. 辛辣な
acidification,酸性化,酸性化 
acidify,酸性にする,酸性にする
acidity,酸性度,酸性度. 酸味
acidosis,アシドーシス,(医)酸血症. 酸性症. 酸性血症. 酸中毒. アシドーシス. 酸毒症
ACK,Acknowledge,Acknowledge. 認識
acknowledge,認める,白状する. 感謝する. 認める. 承認する
acknowledgement,承認,(UK綴)承認. 通知. 自認. 受取の通知. 感謝. 礼状. 謝意
acknowledgment,承認,(US綴)承認. 通知. 自認. 受取の通知. 感謝. 礼状. 謝意
ACL,ACL,Access Control List. アクセス制御リスト他
acme,頂点,(完成度の)極地(美しさ･技術などについて). 絶頂. 頂点
acne,にきび,"にきび. 座瘡(ざそう, にきびpimpleなどの皮膚病).  2. 「ACNE」(アクネ). スウェーデン発のファッションブランド"
acolyte,アコライト,侍祭. アコライト. 侍者
acorn,ドングリ,ドングリ
acoustic,音響,電子機器を介さない. 音響上の. 聴覚の
acquaint,知らせる,知り合いになる. 知らせる. 伝える. 分からせる
acquaintance,知り合い,面識. 知識. 知人. 知合い
acquiesce,黙従,黙認する. 不本意ながら従う
acquiescence,黙諾,黙認. おとなしくしたがうこと
acquire,取得する,を習得する. を獲得する
acquisition,買収,習得
acquisitive,欲しがる,欲ばりの. 欲深い
acquit,放免する,無罪にする. 放免する. 解放する
acquittal,無罪判決,無罪放免. 無罪判決
ACR,ACR,Ammunition Consumption Rate. 弾薬使用統制
acre,エーカー,"エーカー(面積の単位. 4840 平方ヤード,約4047 平方メートル). 略a. (複数形で)土地,地所,broad acres(広い土地)"
acreage,エーカーでの広さ,エーカーでの広さ
acrid,鼻を突く,(においなど)つんとする. 辛い. 苦い. 冷酷な. 辛辣な
acrimonious,辛辣な,しんらつな. 辛辣な. 痛烈な. 毒々しい. 刺々しい
acrimony,とげとげしさ,(言葉･気質など)辛辣さ. とげとげしさ. 厳しさ
acrobat,アクロバット,アクロバット
acrobatic,アクロバティック,曲芸的な
acrobatics,曲芸,アクロバット
acronym,頭字語,頭字語. 文字略語. 頭文字語
Acropoli,アクロポリ,"アクロポリス(Acropoli,Acropolisとも表示 "
across,横断して,横断して
acrostic,アクロスティック,アクロスティック. (数語の語頭などにある語句を折り込んだ遊戯詩･文字遊び)
acrylamide,アクリルアミド,アクリルアミド. アクリル酸を母体とするアミドの一種
acrylic,アクリル,アクリル
act,行為,作用する. 行動する. 行為. 議定書
actin,アクチン,アクチン. 螺旋状の多量体を形成し細胞の形を決定するアクチンフィラメントを作るタンパク質. アクチンフィラメントは筋細胞で筋収縮を担う 
acting,演技,臨時代理の. 演技
actinic,化学線の,化学線作用を持つ. (actinic rays化学線. 紫外線)
actinomycin,アクチノマイシン,アクチノマイシン. 放線菌が産生するポリペプチド系の抗生物質. 20種以上が知られている. 試薬や抗がん剤に使われる
action,アクション,動作. 行動
actionable,実用的な,実用的な
activate,活性化する,放射能を与える. 活性化する. 活動的にする. 活動させる
activated,活性化した,活性化した 
activation,アクティベーション,アクティベーション. 活性化 
activator,活性剤,活性化因子 
active,アクティブ,積極的な. 活発な. 2. 能動態の
actively,積極的に,活発に
activism,行動主義,積極行動主義
activist,活動家,活動家. 運動家
activity,活動,活動. 活躍. 働き. 動き. 活気
actor,俳優,俳優
actress,女優,女優
actual,実際,事実上の. 現在の. 現実の
actuality,現実,現実. 実在
actually,実際に,実際に. 現実に. 実は
actuarial,生命表法による,保険計理(士)の. (もと法廷の)記録係(書記)の
actuary,保険数理士,保険数理士 
acuity,鋭さ,鋭さ
acumen,洞察力,鋭さ. 眼識. 明敏. 鋭い洞察力
acupuncture,鍼,はり治療. 針(療法)
acus,針,(acūs). 針(needle). 千枚通し
acute,急性,鋭い. 激しい. 緊急の. 急性の. ひどい. 重大な
acutely,鋭く,鋭く. 鋭敏に. 激しく
acyl,アシル,"アシル基(Acyl group). 有機化学でカルボン酸(カルボキシ基(−COOH)を有する有機酸)からOHを抜いた,R-CO-という形の基を指す"
AD,AD,"Alzheimer's disease(アルツハイマー病),Anno Domini(西暦),Atopic Dermatitis(アトピー性皮膚炎),Attention Deficit(注意欠陥性障害)  他"
adage,格言,ことわざ. 格言. 古諺. 諺
Adam,アダム,アダム. 人類の祖(聖書). (cf. Adam's apple喉仏)
adamant,断固とした,非常に堅い. 頑固な. 鋼石の. 意志の固い. 2. アダマント(伝説上の絶対に砕けない物質のこと)
adamantly,断固,頑として. 頑固に
adapt,適合させる,を適応させる. 慣れさせる. 適応する. を改変する. (cf. adopt)
adaptability,適応性,順応性
adaptable,適合,適合性のある. 融通のきく. 適応できる. 柔軟
adaptation,適応,適応. 順応
adapter,アダプタ,改作者. 翻案者. アダプター
adaptive,適応,適用可能な
adaptor,アダプタ,"アダプター,アダプタ,接着体,補助具"
add,加える,加える. 足す
added,追加された,追加された 
addendum,補遺,追加したもの. 補遺. 付録
adder,毒蛇,毒蛇. マムシ. クサリヘビ(有毒)
addict,中毒,熱中させる. 麻薬中毒者
addicted,はまって,病みつきになっている. 常習的な
addiction,中毒,"熱中すること, 夢中になること, -中毒"
addictive,中毒性の,添加物. 中毒を起こす. 習慣性の
addition,追加,足し算. 追加
additional,追加の,追加の
additionally,さらに,さらに 
additive,添加剤,追加の. 付加的な. 加法的な
addled,addled,腐った 
address,住所,住所. (仕事などに)取り組む. に話しかける. 演説
addressed,対処,宛て 
addressee,受取人,受信人
adduce,提示する,引用する. 提示する. 例証として挙げる
adduct,付加物,付加物 
Aden,アデン,アデン(南イエメンの首都)
adenine,アデニン,"アデニン. 核酸を構成する5種の主要塩基の一つ. シアン化水素とアンモニアを混合し加熱するだけで合成されるため,原始の地球でもありふれた有機物だったと考えられる"
adenocarcinoma,腺癌,腺癌 
adenoma,腺腫,アデノーマ. 腺腫
adenosine,アデノシン,"アデノシン(RNAを構成するヌクレオシドで,神経伝達物質)"
adenoviral,アデノウイルスの,アデノウイルスの 
adenovirus,アデノウイルス,アデノウイルス. 二重鎖DNAウイルス. ライノウイルス等とともに「風邪症候群」を起こす主要病原ウイルス
adept,名人,熟達して. 名人
adequacy,妥当性,妥当性
adequate,十分な,適した. 適当な. 適切な. 十分な
adequately,適切に,適切に
ADHD,ADHD,注意欠陥多動性障害. attention deficit hyperactivity disorder
adhere,接着する,執着する. 堅く守る. 粘着する. 支持する
adherence,アドヒアランス,"固守, 執着, 忠実, 支持(to)"
adherent,付着した,固守する. 付着性の. 付着した. 関係した. 加盟した
adhesion,接着,粘着
adhesive,接着剤,付着力のある. 粘着性の. 記憶から消えない
adieu,別れ,(仏語)アデュー. さようなら. ごきげんよう
adipocyte,含脂肪細胞,含脂肪細胞 
adipose,脂肪,(動物性)脂肪
adiposity,脂肪症,肥満 
Adirondack,アディロンダック,アディロンダック. NY州北部の山地名. 商品名 他 
adjacent,隣接,隣接した. 付近の. 近接した. 直前の
adjectival,形容詞の,形容詞的語句. 形容詞の･を作る
adjective,形容詞,形容詞
adjoin,継ぎ足す,に隣接する
adjoining,隣接している,隣接している
adjourn,延期する,休止する. 延期する
adjournment,延期,休会. 休止
adjudicate,裁く,(計画など)を決定する. 宣告する. 裁く. 判決をくだす
adjudicated,裁定,判決が下された
adjudication,裁定,判決. 裁決
adjunct,付属物,付属物. 添加物. 修飾(付加)語句
adjust,調整する,(環境に)慣れる. を適合させる. 調節してあわせる
adjustable,アジャスタブル,調整できる
adjusted,調整後,調整後 
adjusting,調整の,調整の 
adjustment,調整,修正
adjuvant,アジュバント,"アジュバント. 主剤に対する補助剤. 補助薬,免疫増強剤,抗原増強剤,補助,補助療法の意. "
adman,アドマン,advertising man. 広告係
admin,管理者,管理
administer,管理する,施行する. 管理する. 与える
administration,管理,行政. 政治. 管理. 執行. 支配. 処理. 投与. 主管庁. 政権
administrative,行政の,行政上の. 経営上の
administrator,管理者,管理者. 行政官
admirable,立派な,賞賛すべき. 立派な
admirably,見事に,りっぱに
admiral,提督,司令長官. 海軍大将. 指令長官
admiralty,海軍本部,海軍本部
admiration,称賛,感嘆. 賞賛
admire,感心する,に感服する. を賞賛する. 尊敬する
admirer,崇拝者,賞賛者. 崇拝者
admissible,許容できる,受け入れられる. 許容できる. 有資格の
admission,入場,入場. 入学. 許可. 告白
admit,認める,(いやなこと)を認める. に入ることを許す
admittance,入場許可,入場許可
admittedly,確かに,明らかに. 正直なところ
admixture,混合,混合物(剤)
admonish,戒める,警告する. 勧告する. 促す. 注意する
admonished,諭さ,訓戒された 
admonition,訓戒,警告. 説諭. 訓戒. 勧告. 忠告
admonitory,admonitory,忠告の. 説諭の. 勧告的な. 警告の. 訓戒の
ado,騒ぎ,骨折り. 騒ぎ. 騒動
Adobe,アドビ,アドビ(ソフト名). 2. 日干しレンガ
adolescence,青年期,青春期(13-16歳くらい). 思春期の成長. 若々しさ. (言語･文化などの)発展期
adolescent,思春期の,青春期の
Adolf,アドルフ,Adolf Hitler アドルフ･ヒトラー 
adopt,採用,採用する. 養子にする. (cf. adapt)
adoptee,養子,里親
adoption,採用,採用. 養子縁組
adoptive,採用の,採用の
adorable,愛らしい　,魅力的な
adoration,崇拝,敬愛. あこがれ. 礼拝
adore,崇拝する,尊敬する. あこがれる. 礼拝する
adored,崇拝,崇拝される 
adorn,飾る,飾る. decorate
adornment,装飾品,装飾品
ADR,ADR,American Depository Receipts. 米国預託証券
adrenal,副腎の,副腎の. 副腎. 腎臓付近の
adrenalectomized,副腎を切除された,副腎を切除された 
adrenalectomy,副腎摘出,副腎摘出 
adrenalin,アドレナリン,アドレナリン. 神経伝達物質またはホルモンとして働く
adrenaline,アドレナリン,アドレナリン. 刺激剤. 神経伝達物質またはホルモンとして働く
adrenergic,アドレナリン作動性の,アドレナリン作動性の 
Adriatic,アドリア海,Adriatic Sea アドリア海. イタリア半島とバルカン半島に挟まれている
adrift,漂流して,漂流して. 漂って. さまよって. 目標を失って
adroit,器用な,巧妙な. 器用な. 機敏な. 気転のきく. 抜け目のない
adroitly,巧み,うなだれた. うつむいた
adsorption,吸着,吸着. 吸着量
ADU,ADU,"Analog-to-Digital Unit(アナログ-デジタルユニット), Anti-Doping Unit(アンチドーピングユニット), Accumulation & Distribution Unit(蓄積＆分配ユニット) 他
 "
adulation,お世辞,追従. お世辞
adult,アダルト,おとな. 成熟した. 成人の. 成人専用の
adulterer,密通者,不義者. 浮気者
adulterous,姦通の,偽の. 姦通の. 不義を犯す. 不純な. 浮気症の
adultery,姦通,不倫. 姦通. 密通
adulthood,成人期,成年期. 成人期
advance,前進,前進. 進歩. 前進する. を前進させる
advanced,高度な,進んだ. 上級の
advancement,進歩,傷心. 進歩. 促進
advantage,利点,好都合. 有利. 利益. 長所. 便宜. 利点. 強み
advantageous,有利,有利な
advantageously,有利に,有利に
advent,降臨,"出現,到来,キリスト降臨, (the advent of a new age 新時代の到来)"
adventure,冒険,冒険. 投機
adventurer,冒険家,冒険家
adventurism,冒険主義,(政治･外交面での)冒険主義
adventurous,冒険好きな,冒険好きな
adverb,副詞,副詞
adverbial,副詞の,副詞の. 副詞的な
adversarial,敵対的な,対立する. 敵対する. 反対の. 反対者の
adversary,敵,相手. 敵. 反対者. 敵対者
adverse,不利な,不利な. 反対の
adversely,逆に,逆行する
adversity,逆境,不幸. 逆境. 困窮. 不幸なできごと. 災難
advert,広告,広告する. 広告
advertise,広告を出す,広告する. 通知する
advertisement,広告,広告
advertiser,広告主,広告者. 広告掲載者
advice,アドバイス,助言. 忠告. アドバイス
advisability,可否,勧めるに足ること. 事の当否
advisable,望ましい　,当を得た. 賢明な. 望ましい. 勧めて然るべき
advise,アドバイス,に忠告する. に助言する. 通知する
adviser,顧問,助言者. 忠告者. 顧問
advisor,顧問,忠告者(主に米式綴り)
advisory,アドバイザリー,助言の. 顧問の. 諮問の
advocacy,アドボカシー,主張. 弁護. 支持
advocate,提唱者,弁護する. 擁護する. 主張する. 弁護士. 支持者. 運動家
AE,AE,Adverse Effect(逆効果. 副作用. 有害反応. 悪影響). Alternative Education(教育選択肢. 非伝統的教育). Associate Expert. アソシエート･エキスパート他
Aegean,エーゲ,エーゲ海の 
Aegis,後援,(íːdʒɪs)(米海軍)イージス艦(総コンピュータ化巡洋艦). 2. 保護. 庇護. 後援. 指導. Zeusが娘Athenaに授けたという盾(ギリシア神話)
aeon,イオン,永劫. エオン(時間の単位=10億年)
aerate,通気する,空気を含ませる. 浄化のために空気にさらす. 血液に酸素を供給する
aerated,通気した,通気された 
aeration,エアレーション,"エアレーション,ばっ気,空気混入,風化"
aerial,アンテナ,(UK英) 空気の. 空中の. 航空(機)の. アンテナ
aerie,巣,(崖や山頂にある)ワシ. タカなどの巣
aero,エアロ,航空の. 航空学の
aerobic,好気的,好気性の
aerodynamic,空気力学的な,空気力学の. 空力的な. 航空力学的な
aerodynamics,空気力学,空気力学
aeronautic,航空,航空の. 飛行の. 飛行船操縦者の
aeronautical,航空の,航空の 
aeronautics,航空学,航空学
aeroplane,飛行機,飛行機
aerosol,エアロゾル,スプレー. 噴霧器
aerospace,航空宇宙,航空宇宙(空間). 気圏(大気圏と大気圏外とで形成する). 航空宇宙科学
aeruginosa,緑膿菌,緑膿菌 
Aesop,イソップ,イソップ(BC 620?-560?. ギリシアの寓話作者)
aesthete,唯美主義者,唯美主義者. 審美家. 美術愛好家
aesthetic,美的,(芸術の)美の. 美学の. 審美的な. 趣味のよい. 芸術的な
aesthetically,審美的に,審美的に 
aesthetics,美学,美学. 審美学. 美観
Aetna,エトナ山,"保険会社名,山の名　他 "
AF,AF,Air force(アメリカ空軍). auto focus(自動焦点). atrial fibrillations(心房細動). Afganistan(アフガニスタン). Air France(エールフランス) 
AFAIK,私の知る限り,as far as I know. 私の知る限り
afar,遠く,遠く(farの方が一般的)
affability,愛想の良さ,愛想の良さ. 感じの良さ
affable,優しい　,愛想のよい. ものやわらかな. 優しい
affair,出来事,出来事. 事務. 仕事. 問題. 事件. 事柄
affaire,出来事,通常. 情事. 不適な関係に使われる
affect,影響を及ぼす,に影響する. に作用する. 気取る. ふりをする. 愛着を感じる
affectation,気取り,見せかけ. ふりをすること. 気取り. てらい. きざ
affected,影響を受けた,気取った
affecting,影響,心を打つ. 感動させる. いたましい
affection,愛情,愛情. 感情. 気質. 影響. 体調. 障害. 疾患
affectionate,優しい　,愛情深い
affectionately,愛情を込めて,愛情をこめて
affective,感情の,感情の
afferent,求心性の,(医. 神経が)求心性の(末梢から中枢に向かう. 2. 輸入. 導入. 求心性.  (反)efferent. 
affidavit,宣誓供述書,宣誓供述書. 宣誓書. 口述書
affiliate,アフィリエイト,加盟する. 提携させる. 交際する. 関係団体. 会員
affiliated,付属,関連のある. 加入の
affiliation,所属,加入. 合併. 提携. (政治的な)友交関係
affinity,親和性,類似性. 親近感. 魅力. attraction. 婚姻(関係)
affirm,確認する,肯定する. 断言する. 確認する. 確信する
affirmation,肯定,断言. 断定
affirmative,肯定的な,断定的な. 肯定の. 積極的な. 断固たる
affix,貼る,添付する. 貼る. 捺す. 加える. 添加物. 接辞
affixed,貼り付け,貼り付けられた 
afflict,苦しめる,苦しめる. 悩ます
affliction,苦悩,苦悩. 不幸. 悲嘆. 苦痛
